,Pro Name,Team,Server,AccName,CurRank
835,RonOP,EVOS Esports,EUW,sihbaaaaaaaaaaa,Platinum II
836,Rookie,Invictus Gaming,KR,iG roooookie,Unranked
837,Rookie,Invictus Gaming,KR,마마돈워리,Master [262 LP]
838,Rookie,Invictus Gaming,KR,누우운사람,Challenger [896 LP]
839,Rookie,Invictus Gaming,KR,wpldklg04,Diamond V
840,Ruby,Afreeca Freecs,KR,Afreeca Ruby,Master [42 LP]
841,Ruler,Gen.G,KR,케빈추 Ruler,Unranked
842,Ruler,Gen.G,NA,corejjoppa,Unranked
843,Ruler,Gen.G,KR,잘해야해,Master [104 LP]
844,Ruler,Gen.G,KR,Gen G 코어장전,Platinum III
845,Ruler,Gen.G,KR,Gen G Ruler,Challenger [608 LP]
846,Ruler,Gen.G,KR,잘해야해,Master [104 LP]
847,Rush,KT Rolster,KR,2915598del,Diamond II
848,Rush,KT Rolster,KR,2060375del,Unranked
849,Rush,KT Rolster,KR,pvman,Master [118 LP]
850,Rush,KT Rolster,KR,RushRush,Diamond I
851,Rush,KT Rolster,KR,9081041del,Diamond I
852,Rush,KT Rolster,KR,IWDominate,Diamond III
853,Ryu,100 Thieves,KR,FeelsG00DMan,Unranked
854,Ryu,100 Thieves,NA,ChiNa N0 1,Unranked
855,Ryu,100 Thieves,NA,Captain of NA,Unranked
856,Ryu,100 Thieves,EUW,abcd12345678,Unranked
857,Ryu,100 Thieves,EUW,lIIIllIIllllI,Unranked
858,Ryu,100 Thieves,KR,XDXDXDXDXD,Platinum I
859,SacyR,RED Canids,BR,CALVO KLEIN,Challenger [507 LP]
860,SacyR,RED Canids,BR,VÔ DE FERIAS,Diamond II
861,Samux,Unicorns Of Love,EUW,xumäS,Diamond I
862,Samux,Unicorns Of Love,KR,Im a Good B0y,Unranked
863,Sangyoon,Hanwha Life Esports,KR,HLE Sangyoon,Challenger [655 LP]
864,Sangyoon,Hanwha Life Esports,KR,HLE Sy,Diamond I
865,Satorius,Millenium,EUW,Sâtorius,Challenger [569 LP]
866,Score,KT Rolster,KR,좋은날,Master [349 LP]
867,Score,KT Rolster,KR,고봉박,Master [194 LP]
868,Scout,EDward Gaming,KR,14-Mar,Unranked
869,Scout,EDward Gaming,KR,마산가자,Master [304 LP]
870,Seiya,Rainbow7,EUW,LA1N,Platinum V
871,Sencux,Misfits,EUW,Jävla Skitttt,Challenger [353 LP]
872,Sencux,Misfits,EUW,Serritzlew,Unranked
873,Sencux,Misfits,KR,MSF Laursen,Platinum II
874,Send0o,,EUW,xL Send0o,Master [288 LP]
875,Send0o,,EUW,jugador asustado,Master [83 LP]
876,SeongHwan,Hanwha Life Esports,KR,8325317del,Unranked
877,SeongHwan,Hanwha Life Esports,KR,HLE SeongHwan,Master [208 LP]
878,SeongHwan,Hanwha Life Esports,KR,GUDAEGl,Unranked
879,Seraph,,KR,도넛주세요,Unranked
880,Seraph,,NA,EnVy kina,Unranked
881,Seraph,,NA,kina,Unranked
882,Shady,Team SoloMid,NA,Śhady,Diamond I
883,Sheriff,H2k-Gaming,EUW,Mindless Donkey,Master [307 LP]
884,Shernfire,Dire Wolves,EUW,0sanspareil,Platinum II
885,Shernfire,Dire Wolves,KR,shern,Master [84 LP]
886,ShiauC,Flash Wolves,KR,ShiaC,Master [293 LP]
887,Shook,H2k-Gaming,EUW,lanephasing,Unranked
888,Shook,H2k-Gaming,EUW,PeacefuI Mind,Diamond V
889,Shook,H2k-Gaming,EUW,3pop pcbang,Unranked
890,Shrimp,,KR,She is limp,Platinum II
891,Shrimp,,NA,Jax is good here,Gold I
892,Shrimp,,NA,She Limp,Platinum III
893,Shy,,KR,고랭지농업종사자,Gold I
894,Shy,,KR,19090892del,Unranked
895,Shy,,KR,1532877del,Unranked
896,Shy,,KR,일산칠흑양날도끼,Diamond III
897,Sky,,KR,하늘킹,Platinum I
898,Slay,EVOS Esports,EUW,ISM da boon,Platinum II
899,Slooshi,,NA,Slooshi1,Unranked
900,Slooshi,,NA,tmffntnl,Unranked
901,Slow,Kaos Latin Gamers,EUW,eh vieja,Platinum IV
902,Slow,Kaos Latin Gamers,KR,fan de mata,Diamond II
903,Smeb,KT Rolster,KR,qqeeww23,Unranked
904,Smeb,KT Rolster,NA,Kyung Ho,Unranked
905,Smeb,KT Rolster,KR,smeb00,Platinum II
906,Smeb,KT Rolster,KR,춘봉박,Master [227 LP]
907,Smeb,KT Rolster,KR,춘봉박,Master [227 LP]
908,Smlz,Rogue Warriors,KR,RW SM1Z,Master [25 LP]
909,Smoothie,Cloud9,NA,Smoothie,Challenger [423 LP]
910,Smoothie,Cloud9,NA,smoothiexx,Unranked
911,Smoothie,Cloud9,NA,C9 Smoothie123,Unranked
912,Smoothie,Cloud9,KR,C9 Smoothers,Unranked
913,Smoothie,Cloud9,KR,C9 Smooth1e,Platinum II
914,Sneaky,Cloud9,NA,C9 Sneaky,Challenger [452 LP]
915,Sneaky,Cloud9,NA,bleede,Unranked
916,Sneaky,Cloud9,NA,C9 Gun,Diamond I
917,Sneaky,Cloud9,KR,C9 Sneak,Unranked
918,Sneaky,Cloud9,KR,C9 Snakey,Diamond I
919,SnowFlower,SuperMassive eSports,KR,3312564_DEL,Unranked
920,SnowFlower,SuperMassive eSports,KR,눈꽃아닙니다,Unranked
921,SnowFlower,SuperMassive eSports,EUW,SUP SnowFIower,Diamond I
922,SnowFlower,SuperMassive eSports,KR,JAG SnowFlower,Diamond I
923,SoaR,Team BattleComics,KR,BtC SoaR,Challenger [416 LP]
924,sOAZ,Fnatic,EUW,FNC sOAZIZ,Diamond I
925,sOAZ,Fnatic,KR,iGiveYouMonkey,Diamond I
926,SofM,Snake Esports,KR,SSSnake JG,Platinum II
927,SoHwan,Jin Air Green Wings,KR,Jln Alr SoHwan,"Challenger [1,005 LP]"
928,SoHwan,Jin Air Green Wings,KR,마지막처럼S,Platinum IV
929,Solo,Clutch Gaming,NA,CG Solo,Diamond I
930,Spirit,Afreeca Freecs,KR,Afreeca Spirit,Challenger [553 LP]
931,Spirit,Afreeca Freecs,KR,꿀피릿,Unranked
932,Spirit,Afreeca Freecs,EUW,FNC Sp1rit,Unranked
933,SSol,Kongdoo Monster,KR,KDM SSol,Diamond I
934,Ssumday,100 Thieves,KR,썸썸데이,Diamond II
935,Ssumday,100 Thieves,KR,Sorry,Unranked
936,Ssumday,100 Thieves,NA,Ssumdayday,Master [57 LP]
937,Ssun,,KR,321niaR,Diamond III
938,Stark,EVOS Esports,EUW,Armor Men,Platinum II
939,Steal,DetonatioN FocusMe,KR,laets,Diamond I
940,Steeelback,Giants Gaming,EUW,SteeelbAK47,Diamond I
941,Stitch,G-Rex,KR,이승주,Unranked
942,Stitch,G-Rex,KR,살기좋은나라대만,Platinum IV
943,Stitch,G-Rex,KR,GRX Stitch,Master [309 LP]
